id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,writing_score,reading_score
34,Ritvik,Thakkar,ritvik.thakkar230@outlook.com,Female,Yes,20,Yes,15.1,Doctor,25,2,79,19,30,16,60,Group E,High school,Free/reduced,Completed,85,14
32,Gatik,Gulati,gatik.gulati280@yahoo.com,Male,No,0,No,6.7,Teacher,51,92,21,59,16,79,68,Group E,Bachelorâ€™s degree,Standard,,3,50
232,Inaaya ,Sarraf,inaaya .sarraf640@outlook.com,Male,No,11,Yes,19.6,Teacher,22,64,69,88,81,41,90,Group C,Bachelorâ€™s degree,Free/reduced,Completed,14,97
964,Aaryahi,Uppal,aaryahi.uppal677@yahoo.com,Female,Yes,17,No,11.5,Scientist,52,80,9,27,1,71,61,Group B,High school,Free/reduced,Completed,54,12
193,Bhavin,Mann,bhavin.mann76@gmail.com,Female,No,0,No,5.2,Engineer,9,43,21,48,20,93,9,Group C,Bachelorâ€™s degree,Free/reduced,,70,11
334,Gokul,Char,gokul.char411@outlook.com,Female,No,7,Yes,11.0,Artist,49,8,43,26,88,75,55,Group E,Some college,Standard,,100,55
4,Mamooty,Boase,mamooty.boase285@yahoo.com,Female,No,5,No,7.1,Teacher,34,89,87,82,9,77,81,Group B,High school,Free/reduced,Completed,21,68
205,Miraan,Jaggi,miraan.jaggi182@yahoo.com,Female,No,11,Yes,16.8,Scientist,95,88,11,36,3,49,6,Group B,High school,Standard,,20,73
515,Ranbir,Wable,ranbir.wable351@gmail.com,Male,Yes,15,No,13.5,Engineer,1,7,34,96,0,85,74,Group B,Bachelorâ€™s degree,Standard,Completed,5,12
800,Vedika,Kannan,vedika.kannan40@gmail.com,Female,Yes,7,Yes,7.6,Entrepreneur,7,49,98,72,15,28,97,Group E,Bachelorâ€™s degree,Standard,,80,4
307,Pranay,Chakraborty,pranay.chakraborty967@outlook.com,Male,No,7,Yes,6.8,Artist,84,17,11,93,48,66,86,Group B,Associate degree,Standard,,78,80
110,Kismat,Edwin,kismat.edwin340@outlook.com,Female,Yes,13,No,15.9,Teacher,88,80,3,76,60,33,83,Group E,Bachelorâ€™s degree,Standard,,100,99
431,Yuvaan,Sengupta,yuvaan.sengupta97@yahoo.com,Female,No,11,No,11.7,Civil Servant,64,2,14,94,84,59,22,Group D,Some high school,Standard,Completed,100,23
78,Hiran,Kumar,hiran.kumar182@outlook.com,Male,No,14,No,13.6,Entrepreneur,82,81,79,41,80,40,19,Group D,Associate degree,Free/reduced,Completed,56,8
85,Chirag,Hans,chirag.hans547@gmail.com,Male,No,15,Yes,7.4,Entrepreneur,56,59,98,36,99,48,64,Group B,High school,Standard,Completed,67,53
287,Nishith,Deol,nishith.deol790@gmail.com,Female,Yes,5,No,1.8,Entrepreneur,43,97,80,7,7,45,82,Group E,Some high school,Standard,Completed,19,89
83,Vritika,Sangha,vritika.sangha19@yahoo.com,Female,No,5,Yes,6.8,Civil Servant,62,24,28,17,19,9,37,Group E,Bachelorâ€™s degree,Standard,Completed,100,12
992,Pari,Baria,pari.baria912@gmail.com,Male,No,17,No,8.3,Scientist,98,74,64,53,96,57,68,Group C,High school,Standard,Completed,56,35
790,Sumer,Choudhary,sumer.choudhary782@gmail.com,Female,No,20,No,8.1,Artist,10,62,3,62,13,41,71,Group D,Some college,Free/reduced,Completed,61,78
895,Eshani,Bhandari,eshani.bhandari608@yahoo.com,Female,Yes,19,No,2.8,Artist,77,33,20,82,99,89,65,Group E,High school,Free/reduced,,12,63
399,Dhanuk,Saxena,dhanuk.saxena323@yahoo.com,Female,No,14,Yes,0.7,Entrepreneur,84,99,38,90,21,62,55,Group D,Associate degree,Standard,Completed,17,39
324,Tejas,Kale,tejas.kale199@yahoo.com,Male,No,15,No,15.9,Teacher,17,61,19,80,58,68,42,Group D,Masterâ€™s degree,Standard,Completed,59,100
520,Nakul,Sem,nakul.sem978@gmail.com,Female,No,17,Yes,4.9,Doctor,96,84,89,11,13,55,91,Group C,Associate degree,Free/reduced,,3,20
917,Ira,Sawhney,ira.sawhney276@gmail.com,Female,Yes,13,No,13.0,Artist,0,14,51,75,24,95,32,Group E,High school,Standard,,88,16
923,Yashvi,Sarna,yashvi.sarna739@yahoo.com,Female,No,3,No,17.2,Entrepreneur,39,95,51,2,8,72,13,Group C,High school,Standard,Completed,30,36
6,Parinaaz,Shanker,parinaaz.shanker143@gmail.com,Female,No,18,No,18.0,Artist,46,28,17,65,63,11,96,Group B,Masterâ€™s degree,Standard,Completed,6,14
732,Saanvi,Wali,saanvi.wali511@yahoo.com,Female,Yes,16,Yes,14.8,Scientist,85,4,51,80,12,42,64,Group E,Bachelorâ€™s degree,Standard,,8,34
466,Mahika,Raman,mahika.raman841@outlook.com,Male,No,3,No,11.4,Artist,21,70,24,84,94,72,86,Group E,High school,Standard,,87,77
98,Saira,Vora,saira.vora126@gmail.com,Male,Yes,14,Yes,18.0,Artist,11,87,40,85,44,90,8,Group C,Some college,Standard,,70,69
267,Arnav,Dube,arnav.dube363@gmail.com,Female,No,5,Yes,10.0,Doctor,30,94,30,33,26,29,25,Group C,High school,Standard,,31,79
358,Mamooty,Swaminathan,mamooty.swaminathan856@outlook.com,Male,Yes,3,Yes,9.9,Civil Servant,78,28,8,25,54,43,94,Group C,Some high school,Standard,Completed,86,51
869,Kimaya,Anne,kimaya.anne803@gmail.com,Male,No,6,Yes,17.8,Entrepreneur,7,1,14,43,79,92,35,Group B,High school,Standard,Completed,36,55
799,Arnav,Dubey,arnav.dubey26@yahoo.com,Female,Yes,7,No,11.1,Doctor,70,40,7,14,87,8,52,Group A,Bachelorâ€™s degree,Standard,Completed,66,68
381,Himmat,Suresh,himmat.suresh396@yahoo.com,Female,Yes,9,No,7.0,Artist,71,11,27,93,56,94,53,Group B,Masterâ€™s degree,Free/reduced,Completed,56,36
632,Priyansh,Mani,priyansh.mani684@gmail.com,Female,No,11,No,7.8,Teacher,13,59,53,54,18,3,36,Group E,Associate degree,Standard,Completed,58,15
382,Anahi,Sama,anahi.sama856@outlook.com,Male,Yes,4,Yes,6.1,Civil Servant,67,42,8,75,96,48,11,Group C,Associate degree,Standard,Completed,0,52
491,Adah,Golla,adah.golla133@outlook.com,Male,No,15,Yes,7.8,Civil Servant,26,16,26,39,55,90,85,Group E,Bachelorâ€™s degree,Free/reduced,,60,20
119,Darshit,Sidhu,darshit.sidhu89@yahoo.com,Female,Yes,5,Yes,9.5,Doctor,0,33,49,30,57,96,34,Group E,Masterâ€™s degree,Standard,Completed,42,38
901,Damini,Choudhry,damini.choudhry346@gmail.com,Female,Yes,15,Yes,4.2,Scientist,87,84,94,95,64,35,67,Group E,Bachelorâ€™s degree,Standard,Completed,50,67
251,Myra,Kakar,myra.kakar240@gmail.com,Female,Yes,16,No,7.8,Artist,5,5,83,41,13,90,66,Group C,Bachelorâ€™s degree,Standard,Completed,81,35
524,Anika,Roy,anika.roy836@yahoo.com,Male,Yes,15,No,2.9,Scientist,18,95,85,89,4,76,40,Group A,Some college,Free/reduced,,39,64
10,Divij,Chopra,divij.chopra541@outlook.com,Female,No,6,Yes,14.3,Artist,85,83,47,56,66,57,15,Group A,Some college,Standard,,31,28
197,Badal,Master,badal.master477@yahoo.com,Female,Yes,8,Yes,3.0,Teacher,85,12,10,85,44,69,52,Group B,Bachelorâ€™s degree,Standard,Completed,96,75
604,Vritika,Rattan,vritika.rattan219@yahoo.com,Female,No,7,Yes,7.7,Entrepreneur,27,67,27,13,71,35,91,Group A,Bachelorâ€™s degree,Free/reduced,Completed,77,85
82,Mishti,Buch,mishti.buch597@outlook.com,Male,Yes,11,No,19.4,Teacher,84,50,16,76,90,10,39,Group C,High school,Standard,Completed,71,48
784,Shanaya,Bakshi,shanaya.bakshi825@yahoo.com,Female,No,15,Yes,16.9,Doctor,12,39,45,22,90,55,32,Group B,Some college,Free/reduced,,63,11
588,Lakshay,Rattan,lakshay.rattan919@yahoo.com,Male,Yes,15,No,2.3,Teacher,52,33,66,92,0,57,16,Group E,Some high school,Standard,,81,57
798,Mishti,Roy,mishti.roy972@gmail.com,Male,No,8,Yes,7.0,Doctor,82,7,50,48,19,37,64,Group B,Masterâ€™s degree,Standard,Completed,8,28
240,Farhan,Walia,farhan.walia304@outlook.com,Male,Yes,10,Yes,19.0,Doctor,98,68,68,0,80,8,26,Group B,Masterâ€™s degree,Free/reduced,,85,80
291,Armaan,Varughese,armaan.varughese657@yahoo.com,Female,Yes,3,Yes,0.9,Doctor,22,4,25,13,62,24,12,Group D,Masterâ€™s degree,Free/reduced,Completed,4,73
212,Jivika,Lal,jivika.lal56@gmail.com,Female,Yes,6,No,8.2,Entrepreneur,58,18,40,91,23,99,10,Group B,Some college,Standard,,62,42
718,Advika,Bedi,advika.bedi413@gmail.com,Female,Yes,20,No,11.2,Scientist,10,26,95,67,47,38,37,Group D,Masterâ€™s degree,Free/reduced,,96,40
360,Anay,Bajaj,anay.bajaj797@gmail.com,Female,Yes,15,Yes,0.1,Doctor,11,90,83,75,36,53,88,Group B,High school,Standard,Completed,98,60
450,Advik,Shere,advik.shere84@gmail.com,Female,Yes,13,Yes,9.5,Artist,9,47,86,67,51,75,71,Group D,Some college,Free/reduced,Completed,66,99
228,Darshit,Wable,darshit.wable561@outlook.com,Female,No,3,Yes,17.9,Artist,17,91,95,92,52,13,32,Group B,Some high school,Free/reduced,,78,25
951,Aarna,Vig,aarna.vig342@yahoo.com,Female,No,8,No,16.5,Entrepreneur,15,92,53,0,79,87,27,Group E,Some college,Standard,,50,47
947,Shalv,Sampath,shalv.sampath690@outlook.com,Male,No,1,No,13.7,Engineer,37,30,26,27,26,97,45,Group C,Bachelorâ€™s degree,Free/reduced,,24,67
797,Divit,Zacharia,divit.zacharia189@gmail.com,Female,Yes,7,No,12.3,Artist,94,18,56,76,98,5,84,Group B,High school,Free/reduced,,64,98
502,Priyansh,Edwin,priyansh.edwin651@outlook.com,Male,No,15,Yes,6.7,Entrepreneur,74,57,48,65,81,94,29,Group A,High school,Standard,,64,75
465,Tushar,Chacko,tushar.chacko761@gmail.com,Male,No,11,Yes,1.8,Entrepreneur,80,38,91,28,29,63,46,Group D,Masterâ€™s degree,Standard,,4,35
363,Tiya,Bansal,tiya.bansal446@yahoo.com,Male,No,19,No,0.9,Teacher,6,68,22,20,100,3,62,Group A,High school,Free/reduced,Completed,65,14
469,Ishaan,Dugal,ishaan.dugal84@outlook.com,Female,Yes,7,No,19.2,Doctor,25,21,42,39,8,80,80,Group D,Associate degree,Standard,Completed,12,3
936,Nitya,Datta,nitya.datta472@gmail.com,Female,No,10,Yes,0.7,Engineer,99,3,99,85,88,3,92,Group C,High school,Standard,,3,10
429,Shayak,Sami,shayak.sami629@gmail.com,Female,No,20,No,1.9,Entrepreneur,43,59,86,28,82,87,91,Group E,Masterâ€™s degree,Standard,Completed,19,63
8,Kiara,Kakar,kiara.kakar465@gmail.com,Male,No,16,Yes,10.2,Engineer,80,38,81,64,77,25,19,Group B,Bachelorâ€™s degree,Standard,Completed,47,97
156,Adah,Goel,adah.goel144@gmail.com,Female,No,14,Yes,17.3,Engineer,62,17,24,49,71,64,83,Group D,Associate degree,Free/reduced,Completed,63,52
542,Fateh,Sharaf,fateh.sharaf632@gmail.com,Male,Yes,13,No,4.9,Teacher,84,67,87,77,5,77,57,Group E,High school,Standard,,21,86
441,Badal,De,badal.de874@outlook.com,Male,Yes,1,No,16.0,Civil Servant,96,14,13,100,78,78,100,Group A,Bachelorâ€™s degree,Standard,,13,71
483,Vardaniya,Bail,vardaniya.bail303@yahoo.com,Male,No,7,Yes,9.3,Entrepreneur,43,54,57,59,55,52,47,Group C,Associate degree,Standard,,63,40
423,Inaaya ,Sura,inaaya .sura55@gmail.com,Female,Yes,1,Yes,3.7,Artist,33,20,90,59,55,14,63,Group C,Masterâ€™s degree,Free/reduced,Completed,5,56
779,Akarsh,Thakkar,akarsh.thakkar380@yahoo.com,Female,Yes,10,No,1.5,Teacher,17,41,89,31,68,74,16,Group E,Masterâ€™s degree,Free/reduced,Completed,12,100
950,Nitya,Sheth,nitya.sheth984@outlook.com,Female,No,17,Yes,0.2,Doctor,26,3,3,75,13,42,99,Group E,High school,Standard,,53,14
335,Aaina,Salvi,aaina.salvi758@outlook.com,Male,No,3,No,6.5,Engineer,56,22,39,51,8,76,13,Group D,Some college,Free/reduced,,87,76
577,Zeeshan,Raman,zeeshan.raman323@gmail.com,Male,No,0,No,15.0,Artist,64,24,40,96,50,92,45,Group A,Some college,Free/reduced,,16,89
935,Aaryahi,Dugar,aaryahi.dugar341@outlook.com,Female,Yes,5,Yes,8.6,Civil Servant,26,17,28,89,81,11,66,Group D,Some high school,Free/reduced,,18,79
568,Chirag,Iyer,chirag.iyer116@outlook.com,Male,No,8,Yes,1.8,Doctor,23,98,49,45,40,63,54,Group D,Bachelorâ€™s degree,Free/reduced,,61,88
595,Alisha,Sankaran,alisha.sankaran728@gmail.com,Male,Yes,20,No,16.9,Teacher,33,70,20,41,26,11,11,Group A,Masterâ€™s degree,Standard,,3,55
531,Nitara,Mannan,nitara.mannan661@outlook.com,Female,No,9,Yes,2.0,Engineer,91,68,23,51,89,2,50,Group E,Associate degree,Standard,,71,68
582,Ahana ,Dixit,ahana .dixit519@yahoo.com,Female,No,1,Yes,14.8,Doctor,89,71,1,19,13,37,48,Group D,Some high school,Standard,Completed,20,72
708,Azad,Dutt,azad.dutt692@yahoo.com,Female,Yes,8,No,3.6,Artist,87,66,13,59,10,44,87,Group D,Some high school,Standard,Completed,93,12
449,Dhanush,Keer,dhanush.keer359@yahoo.com,Male,No,18,Yes,14.3,Entrepreneur,94,31,13,41,66,74,24,Group D,Some high school,Standard,Completed,99,46
454,Vanya,Sachdev,vanya.sachdev487@outlook.com,Female,Yes,4,No,15.2,Teacher,57,19,93,41,11,79,85,Group D,High school,Free/reduced,Completed,79,52
229,Nirvaan,Goyal,nirvaan.goyal845@gmail.com,Female,No,3,No,0.9,Teacher,86,75,15,98,57,58,84,Group B,Associate degree,Standard,,75,64
353,Drishya,Saini,drishya.saini717@yahoo.com,Male,No,18,Yes,10.3,Civil Servant,62,61,55,51,93,99,100,Group B,Some high school,Free/reduced,Completed,8,69
729,Pari,Varughese,pari.varughese968@outlook.com,Female,Yes,18,No,9.5,Artist,86,37,19,95,88,16,18,Group D,Some college,Standard,,77,37
213,Saksham,De,saksham.de281@gmail.com,Female,Yes,18,Yes,9.8,Civil Servant,99,11,16,78,55,81,54,Group D,Associate degree,Standard,,51,54
80,Tanya,Bajwa,tanya.bajwa330@outlook.com,Male,No,16,Yes,19.2,Artist,13,43,91,10,64,82,22,Group D,Associate degree,Standard,Completed,5,31
149,Samaira,Wadhwa,samaira.wadhwa663@outlook.com,Male,Yes,18,No,19.3,Scientist,55,13,1,12,33,28,65,Group E,Bachelorâ€™s degree,Standard,Completed,95,66
303,Nayantara,Kumar,nayantara.kumar249@outlook.com,Male,Yes,9,Yes,6.9,Civil Servant,14,39,57,60,2,42,26,Group B,High school,Free/reduced,Completed,94,68
629,Kashvi,Raj,kashvi.raj759@outlook.com,Male,Yes,6,Yes,11.2,Artist,17,28,86,81,19,38,80,Group A,Associate degree,Standard,,39,92
778,Rati,Divan,rati.divan988@gmail.com,Male,No,14,No,11.1,Entrepreneur,24,52,23,66,74,51,80,Group C,Masterâ€™s degree,Free/reduced,Completed,73,49
507,Jiya,Ramaswamy,jiya.ramaswamy408@yahoo.com,Female,Yes,15,No,8.5,Entrepreneur,94,55,97,19,61,2,97,Group A,Some college,Standard,,48,54
343,Adah,Srivastava,adah.srivastava172@gmail.com,Female,No,18,No,1.2,Artist,74,21,73,6,84,37,94,Group C,Associate degree,Standard,,79,3
486,Tushar,Banerjee,tushar.banerjee843@yahoo.com,Female,No,12,Yes,9.4,Entrepreneur,97,19,50,29,29,92,95,Group B,Bachelorâ€™s degree,Free/reduced,Completed,26,60
712,Nitara,Sule,nitara.sule366@yahoo.com,Female,Yes,14,No,6.0,Engineer,76,14,45,93,4,68,94,Group B,Some high school,Standard,,50,31
134,Fateh,Dasgupta,fateh.dasgupta782@yahoo.com,Female,No,14,Yes,14.7,Scientist,21,17,92,69,62,23,69,Group E,Some high school,Standard,,82,7
704,Kanav,Sarkar,kanav.sarkar472@gmail.com,Male,Yes,6,Yes,6.0,Engineer,23,30,26,55,11,92,31,Group E,Some college,Standard,Completed,19,87
312,Vedika,Dugar,vedika.dugar705@yahoo.com,Female,No,7,No,8.1,Engineer,77,94,48,92,40,50,78,Group E,Bachelorâ€™s degree,Standard,,95,73
723,Dhanuk,Keer,dhanuk.keer625@gmail.com,Female,Yes,18,No,13.7,Scientist,2,95,76,83,49,70,65,Group D,Some college,Standard,,24,20
630,Akarsh,Singhal,akarsh.singhal1@gmail.com,Male,Yes,16,Yes,4.9,Engineer,60,3,64,56,50,7,15,Group D,High school,Standard,Completed,38,51
1,Navya,Bhalla,navya.bhalla26@outlook.com,Male,No,7,Yes,2.8,Engineer,86,94,69,11,75,54,4,Group B,High school,Standard,,3,11
317,Onkar,Bains,onkar.bains317@outlook.com,Female,No,9,Yes,2.4,Doctor,25,0,79,97,32,1,58,Group E,Some high school,Free/reduced,,63,63
707,Urvi,Jha,urvi.jha626@outlook.com,Male,No,2,Yes,2.8,Doctor,5,27,38,55,11,43,49,Group D,High school,Free/reduced,Completed,83,23
548,Khushi,Sidhu,khushi.sidhu770@yahoo.com,Female,No,4,Yes,19.2,Civil Servant,2,16,19,44,64,1,98,Group A,Masterâ€™s degree,Free/reduced,Completed,87,30
873,Jivika,Chauhan,jivika.chauhan512@outlook.com,Male,No,14,Yes,7.5,Teacher,9,76,89,87,48,21,100,Group B,Some college,Free/reduced,Completed,51,26
533,Ishita,Lanka,ishita.lanka519@yahoo.com,Male,No,17,Yes,8.5,Teacher,0,31,38,5,66,100,37,Group D,High school,Free/reduced,Completed,84,68
478,Ehsaan,Sarin,ehsaan.sarin999@gmail.com,Male,Yes,6,No,3.5,Scientist,92,22,43,70,31,22,25,Group C,Some high school,Standard,,2,22
405,Mehul,Handa,mehul.handa356@gmail.com,Male,No,16,No,8.7,Entrepreneur,40,25,53,51,32,79,65,Group E,High school,Standard,,58,85
173,Ira,Bawa,ira.bawa751@gmail.com,Female,Yes,10,No,5.4,Engineer,33,91,73,80,9,63,58,Group A,Associate degree,Standard,Completed,65,46
126,Lakshit,Madan,lakshit.madan472@yahoo.com,Male,Yes,8,Yes,18.7,Teacher,97,14,4,84,53,78,98,Group B,Some high school,Standard,,2,30
395,Tiya,Sood,tiya.sood406@yahoo.com,Male,Yes,3,Yes,7.9,Teacher,75,13,94,21,8,46,25,Group E,Associate degree,Standard,,43,25
421,Aaina,Luthra,aaina.luthra405@outlook.com,Female,No,4,Yes,11.6,Scientist,21,64,63,43,59,16,11,Group E,Associate degree,Standard,Completed,40,90
553,Jayesh,Dora,jayesh.dora259@yahoo.com,Male,No,10,No,2.2,Teacher,1,87,70,98,16,42,46,Group E,Bachelorâ€™s degree,Free/reduced,,94,46
904,Nirvi,Lad,nirvi.lad514@outlook.com,Male,No,19,Yes,9.9,Entrepreneur,27,68,84,70,36,99,14,Group E,Masterâ€™s degree,Free/reduced,,30,49
91,Pihu,Wali,pihu.wali766@gmail.com,Female,No,2,No,4.8,Teacher,80,13,98,74,94,96,42,Group C,Bachelorâ€™s degree,Free/reduced,,17,5
940,Dharmajan,Batra,dharmajan.batra577@gmail.com,Female,Yes,13,Yes,16.0,Entrepreneur,29,41,47,84,6,46,39,Group E,Associate degree,Standard,,21,100
182,Biju,Butala,biju.butala125@gmail.com,Male,Yes,7,Yes,4.0,Artist,47,87,80,82,10,74,75,Group A,Some high school,Standard,Completed,33,9
275,Jhanvi,Wagle,jhanvi.wagle890@gmail.com,Male,No,13,No,17.0,Engineer,10,20,43,29,40,40,83,Group C,Bachelorâ€™s degree,Free/reduced,Completed,37,90
896,Shanaya,Balay,shanaya.balay873@yahoo.com,Female,Yes,15,No,7.2,Entrepreneur,39,37,83,90,51,53,30,Group C,High school,Standard,Completed,39,85
70,Hridaan,Deo,hridaan.deo421@yahoo.com,Male,No,1,No,12.0,Scientist,13,73,64,27,19,84,61,Group C,Bachelorâ€™s degree,Free/reduced,,28,13
292,Anaya,Choudhry,anaya.choudhry376@gmail.com,Male,Yes,0,Yes,13.1,Civil Servant,10,59,81,7,46,71,95,Group A,Bachelorâ€™s degree,Free/reduced,,53,47
132,Advika,Yogi,advika.yogi566@yahoo.com,Male,No,12,No,10.7,Scientist,39,33,46,65,63,59,12,Group C,High school,Free/reduced,Completed,92,60
301,Darshit,Som,darshit.som405@outlook.com,Female,Yes,17,Yes,4.8,Scientist,99,55,41,87,73,11,14,Group D,Some college,Free/reduced,,85,52
425,Madhup,Kohli,madhup.kohli943@gmail.com,Female,Yes,15,Yes,17.7,Engineer,36,87,87,15,50,47,75,Group B,Some high school,Standard,Completed,13,41
327,Saksham,Saini,saksham.saini519@gmail.com,Female,No,16,Yes,3.8,Artist,93,67,39,99,41,18,98,Group B,High school,Standard,Completed,12,66
145,Drishya,Dani,drishya.dani139@yahoo.com,Male,Yes,12,No,16.8,Artist,42,56,42,55,83,76,17,Group E,Masterâ€™s degree,Standard,Completed,38,41
424,Lavanya,Yadav,lavanya.yadav116@outlook.com,Female,Yes,3,No,1.9,Civil Servant,36,23,21,95,65,34,72,Group B,Bachelorâ€™s degree,Standard,,84,74
581,Vaibhav,Kar,vaibhav.kar263@yahoo.com,Female,Yes,3,No,0.8,Civil Servant,36,51,52,79,87,16,56,Group E,Some college,Free/reduced,,46,65
